feature,importance
receiving_first_down_points,18.801658950877336
total_points_overall_pct,17.86860366692147
pass_attempt,11.177792291363625
receiving_yards,7.245542622958082
points_per_game,6.9984684763523966
total_points_pos_pct,5.659033644908852
receiving_touchdown,4.81085508510018
receptions,4.756090933367232
availability_rate,3.8644080142960946
completions,2.7170812490505933
receiving_td_points,2.4178598515181364
passing_yards_points,1.8373161818979733
receptions_points,1.714355247272601
pass_touchdown_per_game,1.619971232556107
passing_td_points,1.1690423536150494
receiving_touchdown_decay0.4_L3,0.8325917235946813
rush_touchdown_decay0.4_L3,0.6767138534416679
rushing_yards_decay0.6_L3,0.6693391714964881
rush_touchdown,0.6288020712957095
pass_touchdown_decay0.4_L1,0.45374134163501256
